Series Id,Year,Period,Value
CUUR0000SA0L1E,2012,M01,0.2
CUUR0000SA0L1E,2012,M02,0.3
CUUR0000SA0L1E,2012,M03,0.4
CUUR0000SA0L1E,2012,M04,0.2
CUUR0000SA0L1E,2012,M05,0.1
CUUR0000SA0L1E,2012,M06,0.1
CUUR0000SA0L1E,2012,M07,0.0
CUUR0000SA0L1E,2012,M08,0.1
CUUR0000SA0L1E,2012,M09,0.3
CUUR0000SA0L1E,2012,M10,0.2
CUUR0000SA0L1E,2012,M11,0.0
CUUR0000SA0L1E,2012,M12,-0.1
CUUR0000SA0L1E,2013,M01,0.3
CUUR0000SA0L1E,2013,M02,0.4
CUUR0000SA0L1E,2013,M03,0.3
CUUR0000SA0L1E,2013,M04,0.1
CUUR0000SA0L1E,2013,M05,0.1
CUUR0000SA0L1E,2013,M06,0.1
CUUR0000SA0L1E,2013,M07,0.1
CUUR0000SA0L1E,2013,M08,0.2
CUUR0000SA0L1E,2013,M09,0.2
CUUR0000SA0L1E,2013,M10,0.2
CUUR0000SA0L1E,2013,M11,0.0
CUUR0000SA0L1E,2013,M12,-0.1
CUUR0000SA0L1E,2014,M01,0.2
CUUR0000SA0L1E,2014,M02,0.3
CUUR0000SA0L1E,2014,M03,0.4
CUUR0000SA0L1E,2014,M04,0.3
CUUR0000SA0L1E,2014,M05,0.2
CUUR0000SA0L1E,2014,M06,0.1
CUUR0000SA0L1E,2014,M07,0.0
CUUR0000SA0L1E,2014,M08,0.1
CUUR0000SA0L1E,2014,M09,0.2
CUUR0000SA0L1E,2014,M10,0.2
CUUR0000SA0L1E,2014,M11,-0.1
CUUR0000SA0L1E,2014,M12,-0.2
CUUR0000SA0L1E,2015,M01,0.2
CUUR0000SA0L1E,2015,M02,0.3
CUUR0000SA0L1E,2015,M03,0.4
CUUR0000SA0L1E,2015,M04,0.3
CUUR0000SA0L1E,2015,M05,0.1
CUUR0000SA0L1E,2015,M06,0.1
CUUR0000SA0L1E,2015,M07,0.0
CUUR0000SA0L1E,2015,M08,0.1
CUUR0000SA0L1E,2015,M09,0.3
CUUR0000SA0L1E,2015,M10,0.3
